Date,Open,High,Low,Close,Volume
06/10/2026,"391.54","397.09","380.15","381.59","49,695,578"
06/09/2026,"411.03","418.50","384.24","396.68","59,940,230"
06/08/2026,"396.33","412.94","394.72","408.95","50,328,832"
06/05/2026,"420.50","424.68","388.59","391.00","63,420,180"
06/04/2026,"419.84","426.35","417.16","418.45","35,323,262"
06/03/2026,"418.70","433.60","416.00","423.70","44,500,727"
06/02/2026,"418.22","424.42","413.65","423.74","37,596,047"
06/01/2026,"427.49","429.60","415.43","415.88","44,937,848"
05/29/2026,"439.85","441.07","428.14","435.79","45,176,820"
05/28/2026,"437.62","443.96","436.30","442.10","32,435,000"
05/27/2026,"442.89","445.60","435.52","440.36","44,656,512"
05/26/2026,"430.26","435.20","426.12","433.59","45,658,898"
05/22/2026,"422.67","431.51","420.51","426.01","46,104,711"
05/21/2026,"422.18","426.95","412.90","417.85","42,636,848"
05/20/2026,"407.60","417.46","406.39","417.26","45,294,754"
05/19/2026,"403.16","405.63","393.63","404.11","46,500,551"
05/18/2026,"419.27","421.13","405.33","409.99","52,474,191"
05/15/2026,"433.98","434.66","422.00","422.24","52,688,738"
05/14/2026,"446.49","451.98","441.16","443.30","46,070,359"
05/13/2026,"436.67","453.40","430.21","445.27","68,283,234"
05/12/2026,"441.41","447.80","422.26","433.45","60,569,301"
05/11/2026,"422.16","449.16","416.80","445.00","78,376,125"
